Time[ms];Pressure[Pa];Approxaltitude[m];Temperature[degC];accX[m/s2];accY[m/s2];accZ[m/s2];rotX[rad/s];rotY[rad/s];rotZ[rad/s];magX[uT];magY[uT];magZ[uT];roll[deg];pitch[deg];heading[deg];tempMPU[degC];Satellites[];Date[yyyy-mm-dd];Time[hh:mm:ss];Latitude[deg];Longitude[deg];RelativeX[m];RelativeY[m];Altitude[m];Angle[deg];deltapressure[Pa];speed[m/s];tempPitot[degC];Ch0;Ch1;Ch2;Ch3;
159060;101890;-46.94;31.8;0.833;-0.551;-10.482;0.022;-0.058;-0.002;27.691;2.509;26.699;0.3;-4.7;187.5;34.9;12;2025-05-13;13:06:43;51.935.516;4.194.790;-11.945.195.313;-6.901.338.379;4.4;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
159094;101890;-47.09;31.8;1.020;-0.527;-10.434;0.021;-0.056;-0.002;29.309;1.971;25.832;0.3;-4.8;187.3;34.8;12;2025-05-13;13:06:43;51.935.516;4.194.790;-11.945.195.313;-6.901.338.379;4.4;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
159194;101891;-47.08;31.8;0.891;-0.565;-10.410;0.019;-0.067;-0.014;28.410;2.151;25.312;0.4;-4.7;187.2;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.4;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
159294;101893;-47.26;31.8;0.934;-0.517;-10.520;0.017;-0.064;-0.017;28.410;2.151;25.312;0.4;-4.8;187.1;34.8;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.4;0.00;25.78;6.54;27.0;396.00;395.00;395.00;396.00;
159394;101892;-47.16;31.8;1.097;-0.551;-10.587;0.022;-0.071;-0.013;28.410;2.151;25.312;0.5;-4.8;187.0;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
159494;101891;-47.06;31.8;0.790;-0.555;-10.396;0.023;-0.066;-0.010;28.410;2.151;25.312;0.5;-4.8;186.9;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
159594;101893;-47.19;31.8;1.073;-0.469;-10.468;0.019;-0.058;-0.015;28.410;2.151;25.312;0.6;-4.8;186.8;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
159694;101891;-47.09;31.8;0.843;-0.632;-10.492;0.021;-0.071;-0.014;28.410;2.151;25.312;0.6;-4.8;186.7;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
159794;101895;-47.39;31.8;0.881;-0.517;-10.377;0.020;-0.058;-0.006;28.410;2.151;25.312;0.7;-4.8;186.6;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
159894;101893;-47.26;31.8;1.087;-0.613;-10.405;0.025;-0.065;-0.014;28.410;2.151;25.312;0.7;-4.8;186.5;34.8;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
159994;101892;-47.16;31.8;0.924;-0.579;-10.506;0.022;-0.059;-0.014;28.410;2.151;25.312;0.8;-4.8;186.4;34.8;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
160094;101891;-47.06;31.8;0.967;-0.532;-10.338;0.020;-0.066;-0.014;28.410;2.151;25.312;0.8;-4.8;186.3;34.9;12;2025-05-13;13:06:44;51.935.516;4.194.790;-11.945.195.313;-6.901.356.934;4.2;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
160194;101890;-47.01;31.8;1.106;-0.584;-10.544;0.019;-0.065;-0.006;28.410;2.151;25.312;0.9;-4.9;186.2;34.8;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;4.2;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
