Time[ms];Pressure[Pa];Approxaltitude[m];Temperature[degC];accX[m/s2];accY[m/s2];accZ[m/s2];rotX[rad/s];rotY[rad/s];rotZ[rad/s];magX[uT];magY[uT];magZ[uT];roll[deg];pitch[deg];heading[deg];tempMPU[degC];Satellites[];Date[yyyy-mm-dd];Time[hh:mm:ss];Latitude[deg];Longitude[deg];RelativeX[m];RelativeY[m];Altitude[m];Angle[deg];deltapressure[Pa];speed[m/s];tempPitot[degC];Ch0;Ch1;Ch2;Ch3;
160294;101889;-46.90;31.8;1.039;-0.445;-10.535;0.023;-0.067;-0.018;28.410;2.151;25.312;0.9;-4.9;186.1;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;4.2;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
160394;101891;-47.02;31.8;0.800;-0.484;-10.420;0.021;-0.061;-0.015;28.410;2.151;25.312;0.9;-4.9;186.0;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
160494;101892;-47.15;31.8;0.991;-0.618;-10.472;0.016;-0.066;-0.011;28.410;2.151;25.312;1.0;-4.9;185.9;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
160594;101891;-47.10;31.8;1.231;-0.522;-10.362;0.022;-0.060;-0.013;28.410;2.151;25.312;1.0;-5.0;185.8;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;27.88;6.81;27.0;396.00;395.00;395.00;396.00;
160694;101894;-47.27;31.8;0.828;-0.508;-10.458;0.020;-0.058;-0.013;28.410;2.151;25.312;1.0;-4.9;185.7;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
160794;101893;-47.23;31.8;1.068;-0.603;-10.362;0.021;-0.062;-0.007;28.410;2.151;25.312;1.1;-5.0;185.6;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
160894;101891;-47.07;31.8;0.862;-0.407;-10.444;0.020;-0.066;-0.012;27.691;1.792;27.392;1.1;-4.9;185.5;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
160994;101891;-47.09;31.8;1.111;-0.589;-10.535;0.021;-0.071;-0.017;27.691;1.792;27.392;1.1;-5.0;185.5;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
161094;101892;-47.12;31.8;1.049;-0.479;-10.549;0.021;-0.061;-0.011;27.691;1.792;27.392;1.1;-5.0;185.4;34.9;12;2025-05-13;13:06:45;51.935.516;4.194.788;-11.945.343.750;-6.901.468.262;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
161194;101890;-47.00;31.8;0.934;-0.522;-10.573;0.022;-0.067;-0.017;27.691;1.792;27.392;1.1;-5.0;185.3;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;3.8;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
161294;101890;-46.94;31.8;0.958;-0.522;-10.458;0.018;-0.064;-0.010;27.691;1.792;27.392;1.1;-5.0;185.2;34.8;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
161394;101890;-47.01;31.8;1.058;-0.498;-10.554;0.021;-0.058;-0.011;27.691;1.792;27.392;1.1;-5.0;185.1;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
161494;101892;-47.13;31.8;0.972;-0.546;-10.472;0.018;-0.069;-0.018;27.691;1.792;27.392;1.2;-5.0;185.0;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;27.88;6.81;27.0;396.00;395.00;395.00;396.00;
161594;101891;-47.09;31.8;0.958;-0.527;-10.348;0.017;-0.056;-0.011;27.691;1.792;27.392;1.2;-5.0;184.9;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
161694;101891;-47.08;31.8;1.140;-0.512;-10.477;0.023;-0.068;-0.017;27.691;1.792;27.392;1.2;-5.1;184.9;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
161794;101889;-46.93;31.8;0.713;-0.536;-10.434;0.022;-0.067;-0.017;27.691;1.792;27.392;1.2;-5.0;184.8;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
161894;101891;-47.05;31.8;1.010;-0.503;-10.305;0.023;-0.054;-0.010;27.691;1.792;27.392;1.3;-5.0;184.7;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
161994;101889;-46.89;31.8;1.044;-0.603;-10.439;0.023;-0.077;-0.014;27.691;1.792;27.392;1.3;-5.0;184.6;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
162094;101889;-46.92;31.8;0.881;-0.532;-10.314;0.021;-0.074;-0.013;27.691;1.792;27.392;1.3;-5.0;184.6;34.9;12;2025-05-13;13:06:46;51.935.516;4.194.790;-11.945.229.492;-6.901.208.496;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
162194;101893;-47.23;31.8;0.867;-0.464;-10.434;0.023;-0.052;-0.012;27.691;1.792;27.392;1.3;-5.0;184.5;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;25.78;6.54;27.0;396.00;395.00;395.00;396.00;
162294;101891;-47.01;31.8;1.010;-0.498;-10.463;0.021;-0.052;-0.006;27.691;1.792;27.392;1.3;-5.0;184.4;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
162394;101889;-46.89;31.8;1.053;-0.546;-10.420;0.017;-0.083;-0.022;27.691;1.792;27.392;1.4;-5.0;184.4;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
162494;101890;-47.01;31.8;0.589;-0.512;-10.496;0.022;-0.059;-0.006;27.691;1.792;27.392;1.4;-4.9;184.3;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
162594;101889;-46.91;31.8;1.245;-0.522;-10.391;0.019;-0.061;-0.011;27.691;1.792;27.392;1.4;-5.0;184.2;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
162694;101892;-47.12;31.8;0.771;-0.488;-10.463;0.021;-0.071;-0.021;27.691;1.792;27.392;1.4;-5.0;184.2;34.8;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
162794;101891;-47.02;31.8;0.790;-0.690;-10.573;0.021;-0.053;-0.011;27.691;1.792;27.392;1.5;-4.9;184.1;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
162894;101892;-47.15;31.8;1.063;-0.517;-10.295;0.022;-0.058;-0.004;29.489;2.151;27.392;1.5;-5.0;184.1;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;25.78;6.54;27.0;396.00;395.00;395.00;396.00;
162994;101891;-47.03;31.8;0.958;-0.551;-10.147;0.018;-0.069;-0.015;27.870;-43.551;27.912;0.6;-5.5;182.1;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
163094;101892;-47.15;31.8;0.891;-0.445;-10.391;0.019;-0.060;-0.011;27.870;-43.551;27.912;-0.2;-5.9;180.2;34.9;12;2025-05-13;13:06:47;51.935.516;4.194.790;-11.945.229.492;-6.901.171.387;4.1;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
163194;101892;-47.13;31.8;1.259;-0.608;-10.377;0.025;-0.067;-0.017;27.870;-43.551;27.912;-0.9;-6.4;178.3;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
163294;101890;-47.01;31.8;0.642;-0.479;-10.372;0.020;-0.074;-0.013;27.870;-43.551;27.912;-1.6;-6.8;176.6;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
163394;101890;-47.00;31.8;1.307;-0.527;-10.410;0.019;-0.052;-0.009;27.870;-43.551;27.912;-2.2;-7.3;174.9;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
163494;101890;-46.98;31.8;0.800;-0.570;-10.515;0.020;-0.062;-0.019;27.870;-43.551;27.912;-2.8;-7.6;173.2;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
163594;101890;-47.00;31.8;1.159;-0.445;-10.401;0.021;-0.068;-0.010;27.870;-43.551;27.912;-3.3;-8.0;171.6;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
163694;101889;-46.87;31.8;0.991;-0.541;-10.386;0.020;-0.071;-0.012;27.870;-43.551;27.912;-3.7;-8.3;170.1;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
163794;101888;-46.82;31.8;0.895;-0.579;-10.410;0.022;-0.059;-0.013;27.870;-43.551;27.912;-4.1;-8.5;168.6;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
163894;101889;-46.89;31.8;0.828;-0.460;-10.377;0.021;-0.061;-0.012;27.870;-43.551;27.912;-4.4;-8.8;167.1;35.0;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;27.88;6.81;27.0;396.00;395.00;395.00;396.00;
163994;101891;-47.04;31.8;1.001;-0.532;-10.410;0.019;-0.070;-0.012;27.870;-43.551;27.912;-4.7;-9.0;165.7;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
164094;101892;-47.11;31.8;0.934;-0.402;-10.717;0.021;-0.064;-0.012;27.870;-43.551;27.912;-5.0;-9.2;164.4;34.9;12;2025-05-13;13:06:48;51.935.520;4.194.789;-11.945.263.672;-6.901.152.832;4.1;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
164194;101890;-46.95;31.8;0.900;-0.560;-10.477;0.019;-0.065;-0.009;27.870;-43.551;27.912;-5.2;-9.4;163.1;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;4.1;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
164294;101891;-47.03;31.8;0.728;-0.503;-10.396;0.022;-0.053;-0.016;27.870;-43.551;27.912;-5.4;-9.5;161.8;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;4.1;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
164394;101893;-47.21;31.8;1.063;-0.474;-10.626;0.019;-0.059;-0.016;27.870;-43.551;27.912;-5.5;-9.7;160.6;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
164494;101890;-47.00;31.8;0.919;-0.603;-10.472;0.019;-0.072;-0.015;27.870;-43.551;27.912;-5.6;-9.8;159.5;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
164594;101892;-47.10;31.8;0.900;-0.532;-10.544;0.022;-0.055;-0.014;27.870;-43.551;27.912;-5.7;-9.9;158.3;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
164694;101892;-47.14;31.8;1.001;-0.450;-10.477;0.022;-0.062;-0.014;28.770;1.792;26.699;-4.6;-9.6;159.1;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
164794;101891;-47.08;31.8;0.934;-0.508;-10.487;0.021;-0.076;-0.016;28.050;1.434;27.392;-3.6;-9.3;159.9;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
164894;101893;-47.19;31.8;0.948;-0.488;-10.496;0.025;-0.056;-0.004;28.050;1.434;27.392;-2.7;-9.1;160.6;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
164994;101892;-47.10;31.8;0.378;-0.551;-10.530;0.018;-0.060;-0.016;28.050;1.434;27.392;-1.8;-8.6;161.2;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
165094;101893;-47.19;31.8;0.828;-0.728;-10.611;0.017;-0.079;-0.010;28.050;1.434;27.392;-1.0;-8.4;161.8;34.9;12;2025-05-13;13:06:49;51.935.516;4.194.788;-11.945.321.289;-6.901.245.605;3.9;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
165194;101893;-47.20;31.8;0.872;-0.560;-10.592;0.028;-0.066;-0.009;28.050;1.434;27.392;-0.3;-8.1;162.4;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.9;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
165294;101891;-47.09;31.8;1.226;-0.503;-10.310;0.017;-0.062;-0.020;28.050;1.434;27.392;0.4;-8.0;163.0;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
165394;101893;-47.19;31.8;0.441;-0.579;-10.626;0.027;-0.048;-0.016;28.050;1.434;27.392;1.0;-7.6;163.5;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
165494;101892;-47.13;31.8;1.374;-0.508;-10.343;0.018;-0.068;-0.006;28.050;1.434;27.392;1.5;-7.6;164.0;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
165594;101892;-47.16;31.8;0.833;-0.551;-10.415;0.021;-0.065;-0.013;28.050;1.434;27.392;2.0;-7.4;164.5;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
165694;101892;-47.13;31.8;1.101;-0.532;-10.362;0.025;-0.062;-0.010;28.050;1.434;27.392;2.4;-7.2;165.0;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
165794;101894;-47.32;31.8;0.876;-0.594;-10.535;0.021;-0.062;-0.017;28.050;1.434;27.392;2.9;-7.1;165.4;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
165894;101893;-47.26;31.8;0.876;-0.498;-10.396;0.022;-0.066;-0.009;28.050;1.434;27.392;3.2;-6.9;165.8;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
165994;101892;-47.14;31.8;0.900;-0.503;-10.415;0.018;-0.062;-0.004;28.050;1.434;27.392;3.5;-6.8;166.2;34.9;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;39.45;8.10;27.0;396.00;395.00;395.00;396.00;
166094;101893;-47.20;31.8;1.039;-0.608;-10.487;0.021;-0.062;-0.022;28.050;1.434;27.392;3.8;-6.7;166.6;35.0;12;2025-05-13;13:06:50;51.935.516;4.194.788;-11.945.309.570;-6.901.282.715;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
166194;101893;-47.23;31.8;0.704;-0.445;-10.209;0.023;-0.062;-0.011;28.050;1.434;27.392;4.1;-6.5;167.0;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
166294;101894;-47.33;31.8;0.982;-0.536;-10.741;0.022;-0.067;-0.011;28.050;1.434;27.392;4.3;-6.4;167.3;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
166394;101893;-47.20;31.8;1.312;-0.378;-10.544;0.028;-0.045;-0.009;28.050;1.434;27.392;4.5;-6.4;167.7;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
166494;101890;-46.98;31.8;1.140;-0.436;-10.420;0.020;-0.066;-0.012;28.050;1.434;27.392;4.6;-6.3;168.0;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
166594;101892;-47.15;31.8;1.087;-0.608;-10.482;0.023;-0.081;-0.015;28.050;1.434;27.392;4.8;-6.3;168.3;35.0;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;39.45;8.10;27.0;396.00;395.00;395.00;396.00;
166694;101892;-47.13;31.8;0.872;-0.426;-10.472;0.022;-0.051;-0.009;27.331;1.434;26.699;5.0;-6.2;168.6;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
166794;101892;-47.12;31.8;1.063;-0.536;-10.492;0.019;-0.065;-0.016;28.949;0.896;28.779;5.1;-6.1;168.9;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
166894;101894;-47.30;31.8;0.982;-0.589;-10.535;0.020;-0.074;-0.010;28.949;0.896;28.779;5.2;-6.0;169.1;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;36.30;7.77;27.0;396.00;395.00;395.00;396.00;
166994;101891;-47.09;31.8;0.929;-0.508;-10.453;0.025;-0.062;-0.010;28.949;0.896;28.779;5.2;-6.0;169.3;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
167094;101890;-47.02;31.8;0.986;-0.536;-10.377;0.025;-0.056;-0.015;28.949;0.896;28.779;5.3;-5.9;169.5;34.9;12;2025-05-13;13:06:51;51.935.516;4.194.788;-11.945.377.930;-6.901.319.824;3.8;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
167194;101892;-47.10;31.8;0.881;-0.546;-10.401;0.019;-0.074;-0.009;28.949;0.896;28.779;5.4;-5.8;169.8;34.9;12;2025-05-13;13:06:52;51.935.516;4.194.786;-11.945.515.625;-6.901.468.262;3.8;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
167294;101890;-46.95;31.8;1.034;-0.560;-10.319;0.019;-0.059;-0.007;28.949;0.896;28.779;5.4;-5.8;170.0;34.9;12;2025-05-13;13:06:52;51.935.516;4.194.786;-11.945.515.625;-6.901.468.262;3.8;0.00;37.35;7.88;27.0;396.00;395.00;395.00;396.00;
167394;101893;-47.19;31.8;0.656;-0.613;-10.501;0.014;-0.054;-0.015;28.949;0.896;28.779;5.5;-5.7;170.2;34.9;12;2025-05-13;13:06:52;51.935.516;4.194.786;-11.945.515.625;-6.901.468.262;3.6;0.00;28.93;6.93;27.0;396.00;395.00;395.00;396.00;
167494;101889;-46.92;31.8;1.298;-0.498;-10.348;0.021;-0.068;-0.011;28.949;0.896;28.779;5.5;-5.7;170.4;34.9;12;2025-05-13;13:06:52;51.935.516;4.194.786;-11.945.515.625;-6.901.468.262;3.6;0.00;33.14;7.42;27.0;396.00;395.00;395.00;396.00;
167594;101888;-46.79;31.8;0.776;-0.532;-10.391;0.023;-0.066;-0.015;28.949;0.896;28.779;5.5;-5.6;170.5;34.9;12;2025-05-13;13:06:52;51.935.516;4.194.786;-11.945.515.625;-6.901.468.262;3.6;0.00;31.04;7.18;27.0;396.00;395.00;395.00;396.00;
